中日友好医院授权返回

主服务器授权申请号:  2250-29077
备份服务器授权申请号:1764-02415
客户服务编号:        3234
客户显示名称:        中日友好医院
PTechSQH:            2000

****主程序授权****

---------------------------------------------------------------------------------
序号  授权类型 截止日期    主服务器授权号             备份服务器授权号           
24   R_STAs                        3813   商业                 3114-8106-5225-6178-3216   
25   R_AUTHOS340RT  Anthos2010     4373   商业                 3176-6144-2424-1382-5851   
26   R_I2000s       I2000          4353   商业                 1562-1130-1851-7983-6976   
27   R_ea07                        3404   商业                 9242-5170-5914-9100-4812   
28   R_Comm                        6500   商业                 1961-7181-5441-5111-0742   
29   R_Combi                       4331   商业                 3082-7125-7211-2319-1666   
30   R_Bact         BacT-ALERT 3D  5436   商业                 8199-9164-2424-1662-3128   
31   R_xe2100                      3504   商业                 2119-1120-7212-2661-0120   
32   R_EUROSCAN     EUROLineScan   5477   商业                 4118-7122-9148-7359-9110   
33   R_uf1000i                     5434   商业                 2123-8158-7218-1631-1178   
34   R_UF1000                      5434   商业                 5211-3108-8270-3349-9424   
35   R_Combi                       4331   商业                 1852-2149-6229-9108-2135   
36   R_XT1800                      5100   商业                 1887-1113-2623-4112-8113   
37   R_CRP                         5200   商业                 2121-1117-3726-3124-9371   
38   R_3600s        E170           4015   商业                 7112-8131-0279-5300-1229   
39   R_3600s        E170           4015   商业                 9117-7134-8144-5566-1838   
40   R_READER       DESTINYPLUS    5573   商业                 4112-6134-9224-8228-1020   
41   R_DXI800B                     5070   商业                 5188-3182-3611-2211-2510   
42   R_GRIFOLS      WADiana        4350   商业                 4221-2116-2153-4216-1381   
43   R_H7180        H7180          3109   商业                 1591-1134-3311-1712-1397   
44   R_cs800                       3813   商业                 3935-2120-2749-2181-0217   
45   R_READER       i-reader       5563   商业                 2122-3138-1114-1790-5622   
46   R_3600         E170           4015   商业                 7522-4195-9212-2518-6114   
47   R_STA2s                       3813   商业                 1462-4122-8396-2547-1939   
48   R_SebiaCom     SEBIA          4001   商业                 0121-3112-2713-2661-8217   
49   R_I2000B       I2000          4353   商业                 1222-1144-5610-2135-7632   
50   R_Triage                      5632   商业                 0411-9118-1267-1717-1339   
51   R_ScanXL       SCANXL         5205   商业                 6435-3132-1121-1027-2561   
52   SCAN500                       4331   商业                 9552-3151-1061-1671-6263   
53   R_AQT          AQT90          5644   商业                 1222-0148-8311-1212-9351   
54   R_BS800                       4407   商业                 9134-5122-9253-6401-0814   
55   R_BC5800       BC5300         5206   商业                 2957-6108-1328-1313-8281   
56   R_Compact      H7600          3107   商业                 0314-1124-1188-2563-1299   
57   R_CRP2                        5200   商业                 4078-2112-1133-2406-1466   
58   R_CRP                         5200   商业                 7128-1121-1326-2016-1323   
59   R_CRP4                        5200   商业                 6217-2128-1181-1646-8701   
60   R_CRP2M                       5200   商业                 8242-1123-5215-1731-4435   
61   R_CRP2                        5200   商业                 1522-1121-0312-1895-5061   
62   R_HLCG7        HLC-G7或HLC-   5012   商业                 2318-3134-4422-2727-3129   
63   R_ZL9100                      5548   商业                 2132-8116-7615-1741-7119   
64   R_BIORADD10    Bio_radD10     5062   商业                 9114-9149-4140-6279-2092   
65   R_READER       DESTINYPLUS    5573   商业                 1883-2132-9212-2922-2141   
66   R_SLAN-PCR     SLAN或SLAN96   5444   商业                 1632-9111-9271-4704-8126   
67   R_PCR480       ROCHE480       5501   商业                 3115-2151-8715-7939-1203   
68   R_Vidas        VIDAS          3701   商业                 5514-9179-0115-1075-1349   
69   R_Vidas        VIDAS          3701   商业                 6981-1172-7061-2468-2842   
70   R_FC500MPL     FC500MPL       5456   商业                 3115-0166-7114-5216-1458   
71   R_PCR7500      ABI7500或PCR   5669   商业                 5120-6111-1212-2204-1897   
72   R_HALO-F160                   5652   商业                 6774-1190-1113-3104-4351   
73   R_SRS1                        5433   商业                 5221-4145-0225-1056-1105   
74   R_Erytra       WADiana        5570   商业                 8111-5174-3272-8681-5777   
75   R_SRS2                        5433   商业                 1201-1124-6112-8967-0815   
76   R_VIDAS        VIDAS          3701   商业                 3086-7115-0821-1301-6277   
77   R_AVE                         3100   商业                 0127-6148-2374-1173-1189   
78   R_dr6400       H7600          3107   商业                 1682-2144-3811-1923-3131   
79   R_Canon        eurolinescan   5811   商业                 7110-1169-2994-2121-2212   
80   R_DNM9602      SF8000         5479   商业                 0727-2171-2618-1811-8635   
81   R_PCR75001     ABI7500或PCR   5669   商业                 3426-9187-6128-8227-2978   
82   R_AccessII     采用ACCESS设   3920   商业                 8422-1123-8628-1284-4673   
83   R_AQT90        AQT90          5644   商业                 2481-1115-3681-6817-7022   
84   R_AQT4         AQT90          5644   商业                 2321-5158-1781-4125-9619   
85   R_Triage2                     5632   临时     2017-05-15  0076-8223-4129-0628-1117   
86   R_Combi                       4331   临时     2017-05-15  0279-8226-4120-1487-3216   
87   R_BIORAD       Bio_radD10     5062   临时     2017-05-15  0476-8222-4812-1321-4314   
88   R_AX4030       XE2100         3005   临时     2017-05-15  0471-8223-4817-1817-2652   
89   R_AX4030       XE2100         3005   临时     2017-05-15  0673-8223-4320-2122-2115   
90   R_AX4030       XE2100         3005   临时     2017-05-15  0171-8225-4222-2317-7115   
91   R_SP10         K4500          3820   临时     2017-05-15  0771-8222-4111-7391-1284   
92   R_UF1000i                     5434   临时     2017-05-15  0278-8224-4112-2655-4727   
93   R_I2000s       I2000          4353   临时     2017-05-15  0772-8221-4421-2912-0331   
94   R_LH780        LH750          5049   临时     2017-05-15  0875-8221-4828-1522-3070   
95   R_Aggram                      5017   临时     2017-05-15  0173-8224-4712-6182-2600   
96   R_BNProSpec    Multiskan MK3  5001   临时     2017-05-15  0171-8225-4823-3195-3523   
97   R_FUS200       BIOSIET        5572   临时     2017-05-15  0173-8225-4671-3152-1756   
98   R_MB-80        MB-80M         5540   临时     2017-05-15  0975-8224-4911-1016-1848   
99   R_HALO-F180                   5652   临时     2017-05-15  0177-8227-4811-1572-1709   
100  R_e601         E170           4015   临时     2017-05-15  0671-8225-4526-1125-4145   
101  R_Maglumi2000                 5544   临时     2017-05-15  0571-8221-4951-4197-8371   
102  R_AU5800       AU5400         3817   临时     2017-05-15  0671-8227-4012-1211-0412   
103  R_CFMS         Spife3000      4228   临时     2017-05-15  0974-8223-4624-9102-4914   
104  R_TUDQ         BX43           3821   临时     2017-05-15  0175-8220-4199-2576-3611   
105  R_C            BAIO           5831   商业                 1871-1131-4227-1545-2290   
106  DXC2800                       5070   临时     2017-05-15  0172-8221-4847-3158-4321   
107  R_ViteckII     Vitek_II       4006   临时     2017-05-15  0479-8225-4925-6218-2594   
108  R_AU5800-JZ    AU5400         3817   临时     2017-05-15  0470-8227-4020-5236-0451   
109  R_PDF          AQT90          5644   临时     2017-05-15  0979-8223-4113-1318-7102   
110  SLAN-96S       SLAN或SLAN96   5444   临时     2017-05-15  0171-8221-4145-8695-1709   
111  R_FUS200       BIOSIET        5572   临时     2017-05-15  0371-8228-4126-1458-0751   
112  R_XT1800                      5100   临时     2017-05-15  0776-8221-4136-5342-2426   
113  R_H7180        H7180          3109   临时     2017-05-15  0975-8226-4227-6210-9114   
114  R_SP10         K4500          3820   临时     2017-05-15  0179-8223-4171-3106-2163   
115  R_HALO-F180                   5652   临时     2017-05-15  0975-8224-4211-2423-1789   
116  R_Cobas8000A   Cobas6000      5153   临时     2017-05-15  0972-8226-4511-1312-5725   
117  R_Cobas8000B   Cobas6000      5153   临时     2017-05-15  0373-8228-4121-3217-2390   
118  Au5800A        AU5400         3817   临时     2017-05-15  0472-8222-4821-2119-7311   
119  Au5800B        AU5400         3817   临时     2017-05-15  0972-8229-4411-1712-3138   
120  R_DXI800s                     5070   临时     2017-05-15  0176-8225-4469-4101-0841   
121  R_Immagea      IMMAGE         3940   临时     2017-05-15  0172-8229-4011-2215-3629   
122  R_I2000C       I2000          4353   临时     2017-05-15  0972-8226-4461-1711-9621   
123  R_Immageb      IMMAGE         3940   临时     2017-05-15  0871-8226-4011-1517-4511   
124  R_IT3000       罗氏-前处理     6000   临时     2017-05-15  0278-8221-4312-2086-7593   
125  R_Result       罗氏-前处理     6000   临时     2017-05-15  0877-8222-4059-2951-6691   
126  EURUIMMUN      DIRUI6400或C   5813   临时     2017-05-15  0573-8221-4661-7671-9052   
127  R_CRP                         5200   临时     2017-05-15  0175-8221-4216-1201-2702   
128  R_BD           I2000          4353   临时     2017-05-15  0470-8221-4437-5260-1112   
129  R_SRS2                        5433   临时     2017-05-15  0172-8225-4220-2127-4325   
130  MYSG                                                                                 
131  R_STA                         3813   临时     2017-05-15  0170-8227-4011-8851-1159   
132  R_Triage3                     5632   临时     2017-05-15  0170-8225-4191-6182-1115   
133  R_Triage                      5632   临时     2017-05-15  0171-8220-4411-2511-8114   
134  SXL            ChemClin600    5516   临时     2017-05-15  0177-8227-4110-5144-1851   
135  Autobie2       AUTOBIO        4344   临时     2017-05-15  0575-8222-4122-1619-6633   
136  R_CRP1                        5200   临时     2017-05-15  0572-8223-4712-2422-5166   
137  R_uf1000X                     5434   临时     2017-05-15  0177-8222-4184-2248-1247   
138  AUTRAX         ABI7500        5912   临时     2017-05-15  0571-8225-4421-4482-2167   
139  R_FP2          SEBIA          4001   临时     2017-05-15  0871-8223-4612-2414-6284   
140  R_e601         E170           4015   临时     2017-05-15  0771-8222-4292-9409-6710   
141  EUR2           DIRUI6400或C   5813   临时     2017-05-15  0376-8227-4116-1321-4921   
142  Autobie2       AUTOBIO        4344   临时     2017-05-15  0071-8229-4919-1818-3374   
143  R_dian         DeAnSample     4500   临时     2017-05-15  0172-8226-4516-2931-6851   
144  EURUIMMUN      DIRUI6400或C   5813   临时     2017-05-15  0172-8222-4149-2184-2628   
145  R_ViteckII     DIRUI6400或C   5813   临时     2017-05-15  0372-8221-4191-1785-1301   
146  7502           DIRUI6400或C   5813   临时     2017-05-15  0379-8226-4128-2143-9511   
147  R_READER       DESTINYPLUS    5573   临时     2017-05-15  0071-8225-4482-1119-4341   
148  7502           DIRUI6400或C   5813   临时     2016-10-26  9765-6222-4278-8472-8525   
149  PCT                           5574   临时     2017-05-15  0872-8221-4132-6812-4421   
150  R_BC5380                      4401   临时     2017-05-15  0077-8225-4322-1021-6217   
151  BHWFL                         3450   临时     2017-05-15  0170-8229-4190-3164-2890   
152  R_Myla         细菌流水线与   5855   临时     2017-05-15  0975-8222-4118-1421-5092   
153  auto                          5879   临时     2017-05-15  0171-8221-4672-3706-5422   
154  R_BIORAD       Bio_radD10     5062   临时     2017-05-15  0171-8225-4910-1707-5115   
155  R_Comm         SF8000         5479   临时     2017-05-15  0270-8220-4811-2991-4219   
156  UFO                           3108   临时     2017-05-15  0276-8222-4222-9937-2135   
157  R_Comm         SF8000         5479   临时     2017-05-17  2372-8222-4691-6072-9342   
158  R_E411         Cobas6000      5153   临时     2017-05-17  2171-8226-4617-4171-5268   
159  R_Erytra       WADiana        5570   临时     2017-05-17  2074-8227-4111-1118-1168   
------------------------------------------------------------------------------------------
5-6222-4278-8472-8525   
149  PC                            5574   涓存椂     2017-05-15  0872-8221-4132-6812-4421   
150  R_BC538                       4401   涓存椂     2017-05-15  0077-8225-4322-1021-6217   
151  BHWF                          3450   涓存椂     2017-05-15  0170-8229-4190-3164-2890   
152  R_Myl          缁嗚弻娴佹按绾夸笌   5855   涓存椂     2017-05-15  0975-8222-4118-1421-5092   
153  aut                           5879   涓存椂     2017-05-15  0171-8221-4672-3706-5422   
154  R_BIORA        Bio_radD1      5062   涓存椂     2017-05-15  0171-8225-4910-1707-5115   
155  R_Com          SF800          5479   涓存椂     2017-05-15  0270-8220-4811-2991-4219   
156  UF                            3108   涓存椂     2017-05-15  0276-8222-4222-9937-2135   
157  R_Com          SF800          5479   涓存椂     2017-05-17  2372-8222-4691-6072-9342   
158  R_E41          Cobas600       5153   涓存椂     2017-05-17  2171-8226-4617-4171-5268   
159  R_Erytr        WADian         5570   涓存椂     2017-05-17  2074-8227-4111-1118-1168   
------------------------------------------------------------------------------------------
